Kingdom,KingdomC,Phylum,PhylumC,Class,ClassC,Order,OrderC,Family,FamilyC,Genus,GenusC,Species,ScientificName,CommonNameC,CoaCode,CoaCType
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Stenella,原海豚屬,longirostris,Stenella longirostris,長吻飛旋海豚,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Stenella,原海豚屬,coeruleoalba,Stenella coeruleoalba,條紋海豚,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Stenella,原海豚屬,attenuata,Stenella attenuata,熱帶斑海豚,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Squalidus,銀鮈屬,iijimae,Squalidus iijimae,飯島氏銀鮈;台灣銀鮈;車栓仔;飯島氏麻魚;台銀鮈;南風魚;飯島氏頜鬚鮈;台灣頜鬚鮈,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Squalidus,銀鮈屬,banarescui,Squalidus banarescui,巴氏銀鮈;車栓仔;班氏銀鮈;中台銀鮈;班氏頜鬚鮈,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Spilornis,蛇鵰屬,cheela,Spilornis cheela hoya,蛇鵰;大冠鷲,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Sousa,駝海豚屬,chinensis,Sousa chinensis,中華白海豚,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Colubridae,黃頷蛇科,Sinonatrix,華遊蛇屬,annularis,Sinonatrix annularis,赤腹游蛇;半紋蛇;紅豬母;水赤鏈游蛇;赤鏈華游蛇,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Elapidae,蝙蝠蛇科,Sinomicrurus,帶紋赤蛇屬,macclellandi,Sinomicrurus macclellandi swinhoei,環紋赤蛇;麗紋蛇,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Balitoridae,爬鰍科,Sinogastromyzon,中華爬岩鰍屬,puliensis,Sinogastromyzon puliensis,埔里中華爬岩鰍;埔里華吸鰍;簸箕魚;木箕貼仔;石貼仔;棕簑貼,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Balitoridae,爬鰍科,Sinogastromyzon,中華爬岩鰍屬,nantaiensis,Sinogastromyzon nantaiensis,南臺中華爬岩鰍;南台中華吸鰍;簸箕魚;木箕貼仔;石貼仔;棕簑貼,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Saundersilarus,黑嘴鷗屬,saundersi,Saundersilarus saundersi,黑嘴鷗,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Lepidoptera,鱗翅目,Nymphalidae,蛺蝶科,Sasakia,紫蛺蝶屬,charonda,Sasakia charonda formosana,大紫蛺蝶;大紫挾蝶,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Artiodactyla,偶蹄目,Cervidae,鹿科,Rusa,,unicolor,Rusa unicolor swinhoei,臺灣水鹿;水鹿,II,珍貴稀有
